Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,,,0,4.33,Doubleday,Hardcover,720,2015,2015,,11/15/2021,currently-reading,currently-reading (#1),currently-reading,,,,1,0
60190659,"What If? 2: Additional Serious Scientific Answers to Absurd Hypothetical Questions (What If?, #2)",Randall Munroe,"Munroe, Randall",,0525537112,9780525537113,5,4.51,Riverhead Books,Hardcover,354,2022,2022,10/21/2022,5/6/2022,,,read,,,,1,0
509784,The End of Eternity,Isaac Asimov,"Asimov, Isaac",Apostol András,0449016196,9780449016190,0,4.24,Fawcett Crest,Mass Market Paperback,192,1971,1955,,7/25/2021,"to-read, up-next","to-read (#132), up-next (#7)",to-read,,,,0,0
52050531,Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,"Gladwell, Malcolm",,0954425103,9780954425104,0,4.02,DJB Exhibitions,Paperback,140,2019,2019,,10/7/2019,"to-read, up-next","to-read (#17), up-next (#6)",to-read,,,,0,0
68494,"Perdido Street Station (New Crobuzon, #1)",China Miéville,"Miéville, China",,0345459407,9780345459404,0,3.97,Ballantine Del Rey,Mass Market Paperback,710,2003,2000,,3/9/2021,"to-read, up-next","to-read (#86), up-next (#5)",to-read,,,,0,0
30319086,If We Were Villains,M.L. Rio,"Rio, M.L.",,125009528X,9781250095282,0,4.23,Flatiron Books,Hardcover,354,2017,2017,,12/13/2021,"to-read, up-next","to-read (#173), up-next (#4)",to-read,,,,0,0
48727813,"She Who Became the Sun (The Radiant Emperor, #1)",Shelley Parker-Chan,"Parker-Chan, Shelley",,,,0,3.91,Tor Books,Kindle Edition,416,2021,2021,,7/25/2022,"to-read, up-next","to-read (#233), up-next (#3)",to-read,,,,0,0
159069,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"L'Engle, Madeleine",Anna Quindlen,0312367546,9780312367541,0,3.99,Square Fish,Paperback,247,2007,1962,,8/14/2022,"to-read, up-next","to-read (#239), up-next (#2)",to-read,,,,0,0
40265832,How to Be an Antiracist,Ibram X. Kendi,"Kendi, Ibram X.",,0525509283,9780525509288,0,4.39,One World,Hardcover,305,2019,2019,,10/12/2022,"to-read, up-next","to-read (#246), up-next (#1)",to-read,,,,0,0
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,0385353308,9780385353304,5,4.07,Knopf,Hardcover,333,2014,2014,10/18/2022,4/3/2021,,,read,,,,1,0
693208,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,"Alexie, Sherman",Ellen Forney,0316013684,9780316013680,4,4.08,"Little, Brown Books for Young Readers",Hardcover,230,2007,2007,10/12/2022,2/1/2022,,,read,,,,1,0
1199688,Babel-17,Samuel R. Delany,"Delany, Samuel R.",,0839823282,9780839823285,0,3.74,Gregg Press,Hardcover,192,1978,1966,,10/12/2022,to-read,to-read (#248),to-read,,,,0,0
6792458,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,"Alexander, Michelle",,,,0,4.52,The New Press Inc.,Hardcover,290,2010,2010,,10/12/2022,to-read,to-read (#247),to-read,,,,0,0
89724,We Have Always Lived in the Castle,Shirley Jackson,"Jackson, Shirley",Jonathan Lethem,0143039970,9780143039976,4,3.96,Penguin Books,Paperback,146,2006,1962,10/9/2022,7/28/2021,,,read,,,,1,0
82861,"Safe Area Goražde: The War in Eastern Bosnia, 1992-1995",Joe Sacco,"Sacco, Joe",Christopher Hitchens,,,0,4.27,Fantagraphics Books,Paperback,240,2001,2000,,10/7/2022,to-read,to-read (#245),to-read,,,,0,0
6065215,"The Strain (The Strain Trilogy, #1)",Guillermo del Toro,"Toro, Guillermo del",Chuck Hogan,0061558230,9780061558238,0,3.79,William Morrow,Hardcover,403,2009,2009,,10/1/2022,to-read,to-read (#244),to-read,,,,0,0
50209317,"The Galaxy, and the Ground Within (Wayfarers, #4)",Becky  Chambers,"Chambers, Becky",,0062936050,9780062936059,5,4.42,Harper Voyager,ebook,336,2021,2021,9/22/2022,9/22/2022,,,read,,,,1,0
57499884,Star Wars: Visions - Ronin,Emma Mieko Candon,"Candon, Emma Mieko",,059335866X,9780593358665,0,3.39,Random House Worlds,Hardcover,331,2021,2021,,9/19/2022,to-read,to-read (#243),to-read,,,,0,0
32802595,"Record of a Spaceborn Few (Wayfarers, #3)",Becky  Chambers,"Chambers, Becky",,1473647606,9781473647602,5,4.1,Hodder & Stoughton,Hardcover,359,2018,2018,9/12/2022,1/28/2022,,,read,,,,1,0
40864002,"A Psalm for the Wild-Built (Monk & Robot, #1)",Becky  Chambers,"Chambers, Becky",,,,5,4.29,Tordotcom,Kindle Edition,160,2021,2021,6/13/2022,3/7/2022,favorites,favorites (#21),read,,,,1,0
22733729,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky  Chambers,"Chambers, Becky",,1500453307,9781500453305,5,4.17,CreateSpace Independent Publishing Platform ,Paperback,518,2014,2014,8/9/2021,4/3/2021,favorites,favorites (#20),read,,,,1,0
40864030,"A Prayer for the Crown-Shy (Monk & Robot, #2)",Becky  Chambers,"Chambers, Becky",,,,5,4.48,Tordotcom,Kindle Edition,152,2022,2022,9/4/2022,7/31/2022,,,read,,,,1,0
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",Ellen Karine Berg,,,0,4.22,MTV Books/Pocket Books,Paperback,213,1999,1999,,9/2/2022,to-read,to-read (#242),to-read,,,,0,0
7082,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",Roger Zelazny,0345404475,9780345404473,4,4.09,Del Rey / Ballantine Books,Paperback,244,1996,1968,9/2/2022,7/25/2021,,,read,,,,1,0
17143,Go Tell It on the Mountain,James Baldwin,"Baldwin, James",,0141185910,9780141185910,4,4.03,Penguin,Paperback,256,2001,1953,8/27/2022,7/3/2022,,,read,,,,1,0
17284593,"Casino Royale (James Bond, #1)",Ian Fleming,"Fleming, Ian",,,,2,3.74,Thomas & Mercer,Kindle Edition,189,2012,1953,11/27/2021,11/4/2021,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,0140283331,9780140283334,3,3.69,Penguin Books ,Paperback,182,1999,1954,,7/7/2019,,,read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,0593135202,9780593135204,5,4.52,Ballantine Books,Hardcover,476,2021,2021,6/3/2022,5/27/2021,favorites,favorites (#19),read,,,,1,0
43190272,"To Be Taught, If Fortunate",Becky  Chambers,"Chambers, Becky",,0062936018,9780062936011,5,4.2,Harper Voyager,Paperback,153,2019,2019,8/21/2022,7/22/2021,,,read,,,,1,0
7805,Pale Fire,Vladimir Nabokov,"Nabokov, Vladimir",,,,0,4.16,Penguin Books Ltd,Paperback,246,2000,1962,,8/20/2022,to-read,to-read (#241),to-read,,,,0,0
13747794,The Uncensored Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Nicholas Frankel,0674066316,9780674066311,0,4.3,Belknap Press,Paperback,260,2012,1890,,8/19/2022,to-read,to-read (#240),to-read,,,,0,0
43575115,The Starless Sea,Erin Morgenstern,"Morgenstern, Erin",,038554121X,9780385541213,5,3.86,Doubleday Books,Hardcover,498,2019,2019,8/16/2022,9/5/2021,,,read,,,,1,0
12781,The Satanic Verses,Salman Rushdie,"Rushdie, Salman",,0312270828,9780312270827,0,3.71,Picador USA,Paperback,561,1997,1988,,8/12/2022,to-read,to-read (#238),to-read,,,,0,0
28433627,The One Hundred Nights of Hero,Isabel Greenberg,"Greenberg, Isabel",,0316259160,9780316269629,0,4.42,"Little, Brown and Company",ebook,224,2016,2016,,8/2/2022,to-read,to-read (#237),to-read,,,,0,0
5128,The Doors of Perception / Heaven and Hell,Aldous Huxley,"Huxley, Aldous",,0060595183,9780060595180,0,3.93,Harper Perennial Modern Classics,Paperback,187,2004,1956,,8/1/2022,to-read,to-read (#236),to-read,,,,0,0
41150487,"Red, White & Royal Blue",Casey McQuiston,"McQuiston, Casey",,,,0,4.15,St. Martin's Griffin,Paperback,448,2019,2019,,7/17/2022,to-read,to-read (#228),to-read,,,,0,0
34928122,Artemis,Andy Weir,"Weir, Andy",,0553448129,9780553448122,0,3.69,Crown,Hardcover,305,2017,2017,,7/15/2021,to-read,to-read (#125),to-read,,,,0,0
43352954,This is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,,,0,3.96,Saga Press,Kindle Edition,209,2019,2019,,12/13/2021,to-read,to-read (#172),to-read,,,,0,0
60222807,Legends & Lattes,Travis  Baldree,"Baldree, Travis",,,,0,4.43,Cryptid Press,Kindle Edition,318,2022,2022,,7/30/2022,to-read,to-read (#235),to-read,,,,0,0
6088007,"Neuromancer (Sprawl, #1)",William Gibson,"Gibson, William",,,,4,3.9,Ace,Kindle Edition,292,2000,1984,7/30/2022,9/24/2021,,,read,,,,1,0
54860443,One Last Stop,Casey McQuiston,"McQuiston, Casey",,1250244498,9781250244499,0,4,St. Martin's Griffin,Paperback,418,2021,2021,,7/30/2022,to-read,to-read (#234),to-read,,,,0,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,059331817X,9780593318171,0,3.77,Alfred A. Knopf,Hardcover,303,2021,2021,,7/25/2022,to-read,to-read (#232),to-read,,,,0,0
